date,open,high,low,close,volume,amount
2025-09-12,25.52,26.02,25.11,25.3,504690,1288305391
2025-09-15,25.29,25.56,25.01,25.03,336576,850073668
2025-09-16,25.01,26.24,24.83,25.99,580766,1487319068
2025-09-17,26.25,27.08,26,26.39,615630,1627240325
2025-09-18,26.43,27.2,25.6,26.01,709173,1880661614
2025-09-19,26.01,26.01,25,25.24,442434,1125425690
2025-09-22,25.12,25.55,25.01,25.27,264367,667967710
2025-09-23,25.2,25.65,24.19,24.75,340549,844621848
2025-09-24,24.55,25.7,24.36,25.57,338460,855937893
2025-09-25,25.58,26.4,25.58,25.68,378338,981938878
2025-09-26,25.5,25.69,24.7,24.79,278763,698779528
2025-09-29,24.75,25.78,24.55,25.76,353263,898109284
2025-09-30,25.88,25.9,25.41,25.6,255437,654405797
2025-10-09,25.62,26.8,24.92,26.33,422452,1097759638
2025-10-10,26.28,26.67,25.31,25.42,363377,939977032
2025-10-13,23.9,24.93,23.51,24.81,338299,821480832
2025-10-14,25.26,25.78,23.78,23.87,397746,983164183
2025-10-15,23.99,24.96,23.45,24.65,307025,745095876
2025-10-16,24.3,24.38,23.51,23.65,256541,612405601
2025-10-17,23.66,23.73,22.5,22.52,251176,575677847
2025-10-20,22.94,23.91,22.86,23.36,319833,750616378
2025-10-21,23.5,23.59,23.16,23.48,143623,336308933
2025-10-22,23.26,23.75,23.03,23.37,137185,320824198
2025-10-23,23.4,23.4,22.83,23.28,125717,289573200
2025-10-24,23.52,24.28,23.46,24.1,260689,626180518
2025-10-27,24.31,24.59,23.96,24.16,203622,492874535
2025-10-28,24.17,24.42,23.82,24.02,182405,439392309
2025-10-29,24.05,24.38,23.98,24.29,153860,372745600
2025-10-30,24.51,25.28,24.32,24.4,294760,729767523
2025-10-31,24.7,25.79,24.62,25.16,411461,1042783528
2025-11-03,25.19,25.34,24.38,24.77,265131,656520247
2025-11-04,24.67,24.68,23.8,24.01,209941,505711991
2025-11-05,23.58,23.94,23.3,23.75,154259,364932184
2025-11-06,23.82,24.45,23.68,24.15,164872,396730294
2025-11-07,24.17,24.2,23.59,23.61,146842,347869536
2025-11-10,23.61,23.78,23.18,23.25,158769,370441548
2025-11-11,23.5,23.83,22.95,23.02,149839,347642025
2025-11-12,23.3,23.45,22.6,22.75,174118,398391512
2025-11-13,22.62,22.88,22.51,22.79,133484,303484735
2025-11-14,22.55,22.7,22.3,22.42,120810,271751595
2025-11-17,22.31,22.57,22.23,22.44,94065,210861708
2025-11-18,22.4,22.53,22.23,22.29,107550,240615619
2025-11-19,22.36,22.43,21.89,22.12,107699,238358111
2025-11-20,22.26,22.36,21.82,21.85,92291,203122384
2025-11-21,21.68,22.17,21.15,21.87,197697,428983149
2025-11-24,21.75,22.1,21.38,22.01,145632,316536523
2025-11-25,22.18,22.2,21.86,21.86,140725,310010970
2025-11-26,21.86,22.05,21.65,21.93,104373,228410159
2025-11-27,21.99,22.15,21.73,21.76,101563,222905626
2025-11-28,21.6,21.97,21.59,21.93,85601,186731038
2025-12-01,21.91,22.43,21.91,22.43,160656,357930664
2025-12-02,22.4,22.4,21.95,22.01,107637,237760294
2025-12-03,22.02,22.19,21.72,21.88,80791,176544578
2025-12-04,22.34,22.65,22.03,22.44,221739,496843767
2025-12-05,22.53,22.56,22.15,22.55,143531,321824169
2025-12-08,22.65,22.76,22.45,22.73,169551,383843453
2025-12-09,22.61,22.77,22.34,22.36,124992,281148840
2025-12-10,22.42,22.63,22.22,22.48,116182,260559062
2025-12-11,22.48,22.54,21.95,21.98,124538,276195183
2025-12-12,21.97,22.08,21.7,22,139342,305029980
2025-12-15,21.85,21.86,21.4,21.41,126381,273007846
2025-12-16,21.4,21.41,20.85,20.91,120541,252986091
2025-12-17,20.91,21.23,20.69,21.18,101763,213215786
2025-12-18,21.01,21.24,20.94,20.95,80496,169707666
2025-12-19,21.01,21.33,21.01,21.18,95106,201671382
2025-12-22,21.55,21.84,21.4,21.7,141965,308017820
2025-12-23,21.7,21.7,21.45,21.54,83150,179200726
2025-12-24,21.5,21.74,21.43,21.67,75476,163378695
2025-12-25,21.77,22.58,21.71,22.51,230960,514267105
2025-12-26,22.55,22.76,22.26,22.58,191884,432305176
2025-12-29,22.74,22.95,22.55,22.84,219968,501900874
2025-12-30,22.61,23.8,22.6,23.66,408693,956994230
2025-12-31,23.74,23.95,23.41,23.7,312044,738725742
2026-01-05,23.65,23.71,23.36,23.68,247302,582848854
2026-01-06,23.7,23.9,23.47,23.73,239283,566813809
2026-01-07,23.73,23.99,23.54,23.82,246454,586088772
2026-01-08,23.96,24.35,23.81,24.07,290138,698968639
2026-01-09,23.9,24.53,23.88,24.25,310829,753532792
2026-01-12,24.49,26.15,24.42,25.67,580453,1467104594
2026-01-13,25.88,26.08,24.9,25.09,448890,1139977098
2026-01-14,25.23,25.86,24.68,24.94,402124,1016912294
2026-01-15,24.9,25.15,24.47,24.75,231048,571983121
2026-01-16,25.01,25.75,24.97,25.49,366670,929447785
2026-01-19,25.49,25.7,25.17,25.31,235688,597805703
2026-01-20,25.31,25.86,24.88,25.18,233176,589132708
2026-01-21,25,25.35,24.88,25.13,189012,475415052
2026-01-22,25.58,25.96,25.27,25.47,291566,745784630
2026-01-23,25.71,25.99,25.44,25.73,278618,714862480
2026-01-26,25.87,26.47,25.2,25.37,318980,817951025
2026-01-27,25.19,25.29,24.5,25.15,244684,610034879
2026-01-28,25,25.09,24.22,24.36,238904,584208877
2026-01-29,24.25,24.44,23.74,23.85,190999,459863120
2026-01-30,23.72,23.9,22.92,23.58,211676,495809283
2026-02-02,23.58,24.23,23.38,23.58,223923,534352301
2026-02-03,23.71,23.98,23.46,23.98,154965,368667855
2026-02-04,23.81,23.95,23.54,23.95,131898,312952846
2026-02-05,23.81,23.88,23.37,23.41,118402,278951450
2026-02-06,23.19,24.07,23.07,23.76,153508,364135055
2026-02-09,24.08,24.16,23.77,24.01,119424,285929689
2026-02-10,24.08,24.55,23.92,24.38,185513,451455056
2026-02-11,24.34,24.5,24.11,24.25,103042,250444534
2026-02-12,24.25,24.4,24.16,24.37,113633,276283861
